Codigo,Nombre
08638,DIRECCION MUNICIPAL DE SALUD DE SABANALARGA
08675,DIRECCION MUNICIPAL DE SALUD DE SANTA LUCIA
08685,DIRECCION MUNICIPAL DE SALUD DE SANTO TOMAS
08758,DIRECCION MUNICIPAL DE SALUD DE SOLEDAD
08770,DIRECCION MUNICIPAL DE SALUD DE SUAN
08832,DIRECCION MUNICIPAL DE SALUD DE TUBARA
08849,DIRECCION MUNICIPAL DE SALUD DE USIACURI
11000,SECRETARIA DISTRITAL DE SALUD
11001,SECRETARIA DISTRITAL DE SALUD
11002,DIRECCION MUNICIPAL DE SALUD DE CAPINERO
11003,DIRECCION MUNICIPAL DE SALUD DE SANTA FE
11004,DIRECCION MUNICIPAL DE SALUD DE SAN CRISTOBAL
11005,DIRECCION MUNICIPAL DE SALUD DE USME
11006,DIRECCION MUNICIPAL DE SALUD DE TUNJUELITO
11007,DIRECCION MUNICIPAL DE SALUD DE BOSA
11008,DIRECCION MUNICIPAL DE SALUD DE KENNEDY
11009,DIRECCION MUNICIPAL DE SALUD DE FONTIBON
11010,DIRECCION MUNICIPAL DE SALUD DE ENGATIVA
11011,DIRECCION MUNICIPAL DE SALUD DE SUBA
11012,DIRECCION MUNICIPAL DE SALUD DE BARRIOS UNIDOS
11013,DIRECCION MUNICIPAL DE SALUD DE TEUSAQUILLO
11014,DIRECCION MUNICIPAL DE SALUD DE MARTIRES
11015,DIRECCION MUNICIPAL DE SALUD DE ANTONIO NARIÑO
11016,DIRECCION MUNICIPAL DE SALUD DE PUENTE ARANDA
11017,DIRECCION MUNICIPAL DE SALUD DE CANDELARIA
11018,DIRECCION MUNICIPAL DE SALUD DE RAFAEL URIBE
11019,DIRECCION MUNICIPAL DE SALUD DE CIUDAD BOLIVAR
11020,DIRECCION MUNICIPAL DE SALUD DE SUMAPAZ
13000,DIRECCION DEPARTAMENTAL DE BOLIVAR
13001,DIRECCION MUNICIPAL DE SALUD DE CARTAGENA
13006,DIRECCION MUNICIPAL DE SALUD DE ACHI
13030,DIRECCION MUNICIPAL DE SALUD DE ALTOS DEL ROSARIO
13042,DIRECCION MUNICIPAL DE SALUD DE ARENAL
13052,DIRECCION MUNICIPAL DE SALUD DE ARJONA
13062,DIRECCION MUNICIPAL DE SALUD DE ARROYOHONDO
13074,DIRECCION MUNICIPAL DE SALUD DE BARRANCO DE LOBA
13-1,ASEG COLSEGUROS S. A.
13-14,ASEG GENERALI COLOMBIASEGUROS GENERALES SA
13140,DIRECCION MUNICIPAL DE SALUD DE CALAMAR
13-15,ASEG ROYAL & SUN ALLIANCE SEGUROS (COLOMBIA) SA
13160,DIRECCION MUNICIPAL DE SALUD DE CANTAGALLO
13-17,ASEG COMPAÑIA MUNDIAL DE SEGUROS S.A.
13-18,ASEG COMPAÑIA SURAMERICANA DE SEGUROS S.A.
13188,DIRECCION MUNICIPAL DE SALUD DE CICUCO
13-19,ASEG CONDOR SA COMPAÑIA DE SEGUROS GENERALES
13-20,"ASEG EL LIBERTADOR, SA"
13-21,ASEG CHUBB DE COLOMBIA COMPAÑIA DE SEGUROS SA
13212,DIRECCION MUNICIPAL DE SALUD DE CORDOBA
13-22,ASEG AIG SEGUROS GENERALES
13222,DIRECCION MUNICIPAL DE SALUD DE CLEMENCIA
13-24,ASEG LA PREVISORA S.A. COMPAÑIA DE SEGUROS
13244,DIRECCION MUNICIPAL DE SALUD DE EL CARMEN DE BOLIVAR
13248,DIRECCION MUNICIPAL DE SALUD DE EL GUAMO
13-25,ASEG SEGUROS ALFA SA
13-26,ASEG MAPFRE SEGUROS GENERALES DE COLOMBIA SA
13268,DIRECCION MUNICIPAL DE SALUD DE EL PENON
13-27,ASEG SEGUROS COMERCIALES BOLIVAR SA
13-29,ASEG SEGUROS DEL ESTADO S.A.
13-30,ASEG SEGUREXPO DE COLOMBIA SA ASEGURADORA DE CREDITO Y DEL COMERCIO EXTERIOR
13300,DIRECCION MUNICIPAL DE SALUD DE HATILLO DE LOBA
13-33,ASEG LIBERTY SEGUROS S.A.
13-41,ASEG BBVA SEGUROS GANADERO COMPAÑIA DE SEGUROS SA
13-42,ASEG COMPAÑIA DE SEGUROS DE CREDITOS COMERCIALES SA CREDISEGURO SA
13430,DIRECCION MUNICIPAL DE SALUD DE MAGANGUE
13433,DIRECCION MUNICIPAL DE SALUD DE MAHATES
13-44,CARDIF COLOMBIA SEGUROS GENERALES S.A.
13440,DIRECCION MUNICIPAL DE SALUD DE MARGARITA
13442,DIRECCION MUNICIPAL DE SALUD DE MARIA LA BAJA
13458,DIRECCION MUNICIPAL DE SALUD DE MONTECRISTO
13468,DIRECCION MUNICIPAL DE SALUD DE MOMPOS
13473,DIRECCION MUNICIPAL DE SALUD DE MORALES
13490,DIRECCION MUNICIPAL DE NOROSI
13-5,ASEG ACE SEGUROS SA (ANTES: CIGNA SEGUROS DE COLOMBIA SA)
13549,DIRECCION MUNICIPAL DE SALUD DE PINILLOS
13580,DIRECCION MUNICIPAL DE SALUD DE REGIDOR
13-6,ASEG SEGUROS COLPATRIA S.A.
13600,DIRECCION MUNICIPAL DE SALUD DE RIO VIEJO
13620,DIRECCION MUNICIPAL DE SALUD DE SAN CRISTOBAL
13647,DIRECCION MUNICIPAL DE SALUD DE SAN ESTANISLAO
13650,DIRECCION MUNICIPAL DE SALUD DE SAN FERNANDO
13654,DIRECCION MUNICIPAL DE SALUD DE SAN JACINTO
13655,DIRECCION MUNICIPAL DE SALUD DE SAN JACINTO DEL CAUCA
